company_name_id,company_name,company_category
3-round-stones-inc,"3 Round Stones, Inc.",Data/Technology
48-factoring-inc,48 Factoring Inc.,Finance & Investment
5psolutions,5PSolutions,Data/Technology
abt-associates,Abt Associates,Research & Consulting
accela,Accela,Governance
accuweather,AccuWeather,Environment & Weather
acxiom,Acxiom,Data/Technology
adaptive,Adaptive,Business & Legal Services
adobe-digital-government,Adobe Digital Government,Data/Technology
aidin,Aidin,Healthcare
alarmcom,Alarm.com,Lifestyle & Consumer
allianz,Allianz,Finance & Investment
allied-van-lines,Allied Van Lines,Transportation
allstate-insurance-group,AllState Insurance Group,Insurance
alltuition,Alltuition,Education
altova,Altova,Data/Technology
amazon-web-services,Amazon Web Services,Data/Technology
american-red-ball-movers,American Red Ball Movers,Transportation
amida-technology-solutions,Amida Technology Solutions,Healthcare
analytica,Analytica,Data/Technology
apextech-llc,Apextech LLC,Data/Technology
appallicious,Appallicious,Data/Technology
aquicore,Aquicore,Energy
archimedes-inc,Archimedes Inc.,Healthcare
areavibes-inc,AreaVibes Inc.,Data/Technology
arpin-van-lines,Arpin Van Lines,Transportation
arrive-labs,Arrive Labs,Transportation
asc-partners,ASC Partners,Business & Legal Services
asset4,Asset4,Finance & Investment
atlas-van-lines,Atlas Van Lines,Transportation
atsite,AtSite,Research & Consulting
aunt-bertha-inc,"Aunt Bertha, Inc.",Governance
aureus-sciences-now-part-of-elsevier,Aureus Sciences (*Now part of Elsevier),Scientific Research
autogrid-systems,AutoGrid Systems,Energy
avalara,Avalara,Finance & Investment
avvo,Avvo,Business & Legal Services
ayasdi,Ayasdi,Data/Technology
azavea,Azavea,Geospatial/Mapping
balefire-global,BaleFire Global,Data/Technology
barchart,Barchart,Data/Technology
be-informed,Be Informed,Data/Technology
bekins,Bekins,Transportation
berkery-noyes-mandasoft,Berkery Noyes MandASoft,Finance & Investment
berkshire-hathaway,Berkshire Hathaway,Finance & Investment
betterlesson,BetterLesson,Education
billguard,BillGuard,Finance & Investment
bing,Bing,Data/Technology
biovia,Biovia,Scientific Research
bizvizz,BizVizz,Governance
blackrock,BlackRock,Finance & Investment
bloomberg,Bloomberg,Finance & Investment
booz-allen-hamilton,Booz Allen Hamilton,Research & Consulting
boston-consulting-group,Boston Consulting Group,Research & Consulting
boundless,Boundless,Geospatial/Mapping
bridgewater,Bridgewater,Finance & Investment
brightscope,Brightscope,Finance & Investment
buildfax,BuildFax,Business & Legal Services
buildingeye,Buildingeye,Housing/Real Estate
buildzoom,BuildZoom,Housing/Real Estate
business-and-legal-resources,Business and Legal Resources,Business & Legal Services
business-monitor-international,Business Monitor International,Business & Legal Services
calcbench-inc,"Calcbench, Inc.",Finance & Investment
cambridge-information-group,Cambridge Information Group,Finance & Investment
cambridge-semantics,Cambridge Semantics,Data/Technology
can-capital,CAN Capital,Finance & Investment
canon,Canon,Data/Technology
capital-cube,Capital Cube,Finance & Investment
cappex,Cappex,Education
captricity,Captricity,Data/Technology
careset-systems,CareSet Systems,Data/Technology
caresetcom,Careset.com,Data/Technology
carfax,CARFAX,Transportation
caspio,Caspio,Data/Technology
castle-biosciences,Castle Biosciences,Scientific Research
cb-insights,CB Insights,Finance & Investment
ceiba-solutions,Ceiba Solutions,Scientific Research
center-for-responsive-politics,Center for Responsive Politics,Research & Consulting
cerner,Cerner,Healthcare
certara,Certara,Scientific Research
cgi,CGI,Business & Legal Services
charles-river-associates,Charles River Associates,Research & Consulting
charles-schwab-corp,Charles Schwab Corp.,Finance & Investment
chemical-abstracts-service,Chemical Abstracts Service,Scientific Research
child-care-desk,Child Care Desk,Lifestyle & Consumer
chubb,Chubb,Insurance
citigroup,Citigroup,Finance & Investment
cityscan,CityScan,Geospatial/Mapping
citysourced,CitySourced,Governance
civic-impulse-llc,Civic Impulse LLC,Governance
civic-insight,Civic Insight,Housing/Real Estate
civinomics,Civinomics,Governance
civis-analytics,Civis Analytics,Data/Technology
clean-power-finance,Clean Power Finance,Energy
clearhealthcosts,ClearHealthCosts,Healthcare
clearstory-data,ClearStory Data,Data/Technology
climate-corporation,Climate Corporation,Food & Agriculture
clinicast,CliniCast,Healthcare
cloudmade,Cloudmade,Geospatial/Mapping
cloudspyre,Cloudspyre,Lifestyle & Consumer
code-for-america,Code for America,Governance
coden,Code-N,Data/Technology
collective-ip,Collective IP,"Data/Technology,"
college-abacus-an-ecmc-initiative,"College Abacus, an ECMC initiative",Finance & Investment
college-board,College Board,Education
compared-care,Compared Care,Healthcare
compendia-bioscience-life-technologies,Compendia Bioscience Life Technologies,Scientific Research
compliance-and-risks,Compliance and Risks,Business & Legal Services
computer-packages-inc,Computer Packages Inc,Data/Technology
connectdot-llc,CONNECT-DOT LLC.,Lifestyle & Consumer
connectedu,ConnectEDU,Education
connotate,Connotate,Data/Technology
construction-monitor-llc,Construction Monitor LLC,Housing/Real Estate
consumer-reports,Consumer Reports,Lifestyle & Consumer
coolclimate,CoolClimate,Environment & Weather
copyright-clearance-center,Copyright Clearance Center,Business & Legal Services
corelogic,CoreLogic,Housing/Real Estate
costquest,CostQuest,Business & Legal Services
credit-karma,Credit Karma,Finance & Investment
credit-sesame,Credit Sesame,Finance & Investment
crowdanalytix,CrowdANALYTIX,Data/Technology
dabo-health,Dabo Health,Healthcare
datalogix,DataLogix,Data/Technology
datamade,DataMade,Governance
datamarket,DataMarket,Data/Technology
datamyne,Datamyne,Data/Technology
dataweave,DataWeave,Data/Technology
deloitte,Deloitte,Research & Consulting
demystdata,DemystData,Finance & Investment
department-of-better-technology,Department of Better Technology,Governance
development-seed,Development Seed,Governance
docket-alarm-inc,"Docket Alarm, Inc.",Business & Legal Services
dow-jones--co,Dow Jones & Co.,Finance & Investment
dun--bradstreet,Dun & Bradstreet,Business & Legal Services
earth-networks,Earth Networks,Environment & Weather
earthobserver-app,EarthObserver App,Geospatial/Mapping
earthquake-alert,Earthquake Alert!,Geospatial/Mapping
